State,Year,Month,ActivityLevel
Alabama,2015,11,1
Alabama,2015,12,1
Alabama,2014,11,1
Alabama,2014,12,9
Alabama,2015,1,9
Alabama,2015,2,6
Alabama,2015,3,9
Alabama,2015,4,1
Alabama,2015,5,1
Alabama,2015,6,1
Alabama,2015,7,1
Alabama,2015,8,1
Alabama,2015,9,1
Alabama,2015,10,1
Alabama,2013,11,3
Alabama,2013,12,10
Alabama,2014,1,10
Alabama,2014,2,8
Alabama,2014,3,1
Alabama,2014,3,1
Alabama,2014,5,1
Alabama,2014,5,1
Alabama,2014,6,1
Alabama,2014,8,1
Alabama,2014,8,1
Alabama,2014,9,1
Alabama,2012,11,1
Alabama,2012,12,10
Alabama,2013,1,10
Alabama,2013,2,7
Alabama,2013,3,4
Alabama,2013,3,2
Alabama,2013,5,1
Alabama,2013,6,1
Alabama,2013,6,1
Alabama,2013,8,1
Alabama,2013,8,1
Alabama,2013,9,1
Alabama,2011,11,3
Alabama,2011,12,6
Alabama,2012,1,5
Alabama,2012,2,10
Alabama,2012,3,10
Alabama,2012,3,5
Alabama,2012,5,6
Alabama,2012,6,2
Alabama,2012,6,1
Alabama,2012,8,1
Alabama,2012,9,1
Alabama,2012,9,1
Alabama,2010,11,1
Alabama,2010,12,8
Alabama,2011,1,10
Alabama,2011,2,10
Alabama,2011,3,10
Alabama,2011,4,1
Alabama,2011,5,1
Alabama,2011,6,1
Alabama,2011,7,1
Alabama,2011,8,1
Alabama,2011,9,1
Alabama,2011,10,1
Alabama,2009,9,10
Alabama,2009,10,10
Alabama,2009,11,10
Alabama,2009,12,6
Alabama,2010,1,2
Alabama,2010,2,5
Alabama,2010,3,6
Alabama,2010,4,1
Alabama,2010,5,1
Alabama,2010,6,1
Alabama,2010,7,1
Alabama,2010,8,1
Alabama,2010,9,1
Alabama,2010,10,1
Alabama,2009,1,1
Alabama,2009,2,3
Alabama,2009,3,5
Alabama,2009,4,1
Alabama,2009,5,1
Alabama,2009,6,1
Alabama,2009,7,1
Alabama,2009,8,1
Alabama,2009,8,1
Arizona,2015,11,3
Arizona,2015,12,4
Arizona,2014,11,1
Arizona,2014,12,2
Arizona,2015,1,5
Arizona,2015,2,7
Arizona,2015,3,3
Arizona,2015,4,2
Arizona,2015,5,1
Arizona,2015,6,1
Arizona,2015,7,1
Arizona,2015,8,1
Arizona,2015,9,1
Arizona,2015,10,1
Arizona,2013,11,1
Arizona,2013,12,1
Arizona,2014,1,3
Arizona,2014,2,6
Arizona,2014,3,3
Arizona,2014,3,1
Arizona,2014,5,1
Arizona,2014,5,1
Arizona,2014,6,1
Arizona,2014,8,1
Arizona,2014,8,1
Arizona,2014,9,1
Arizona,2012,11,1
Arizona,2012,12,1
Arizona,2013,1,6
Arizona,2013,2,8
Arizona,2013,3,4
Arizona,2013,3,1
Arizona,2013,5,1
Arizona,2013,6,1
Arizona,2013,6,1
Arizona,2013,8,1
Arizona,2013,8,1
Arizona,2013,9,1
Arizona,2011,11,1
Arizona,2011,12,1
Arizona,2012,1,1
Arizona,2012,2,2
Arizona,2012,3,2
Arizona,2012,3,2
Arizona,2012,5,1
Arizona,2012,6,1
Arizona,2012,6,1
Arizona,2012,8,1
Arizona,2012,9,1
Arizona,2012,9,1
Arizona,2010,11,1
Arizona,2010,12,5
Arizona,2011,1,2
Arizona,2011,2,5
Arizona,2011,3,3
Arizona,2011,4,1
Arizona,2011,5,1
Arizona,2011,6,1
Arizona,2011,7,1
Arizona,2011,8,1
Arizona,2011,9,1
Arizona,2011,10,1
Arizona,2009,9,3
Arizona,2009,10,8
Arizona,2009,11,6
Arizona,2009,12,1
Arizona,2010,1,1
Arizona,2010,2,1
Arizona,2010,3,1
Arizona,2010,4,1
Arizona,2010,5,1
Arizona,2010,6,1
Arizona,2010,7,1
Arizona,2010,8,1
Arizona,2010,9,1
Arizona,2010,10,1
Arizona,2009,1,1
Arizona,2009,2,1
Arizona,2009,3,1
Arizona,2009,4,1
Arizona,2009,5,3
Arizona,2009,6,1
Arizona,2009,7,1
Arizona,2009,8,1
Arizona,2009,8,1
Arkansas,2015,11,1
Arkansas,2015,12,1
Arkansas,2014,11,1
Arkansas,2014,12,3
Arkansas,2015,1,10
Arkansas,2015,2,10
Arkansas,2015,3,8
Arkansas,2015,4,1
Arkansas,2015,5,1
Arkansas,2015,6,1
Arkansas,2015,7,1
Arkansas,2015,8,1
Arkansas,2015,9,1
Arkansas,2015,10,1
Arkansas,2013,11,2
Arkansas,2013,12,3
Arkansas,2014,1,10
Arkansas,2014,2,10
Arkansas,2014,3,1
Arkansas,2014,3,1
Arkansas,2014,5,1
Arkansas,2014,5,1
Arkansas,2014,6,1
Arkansas,2014,8,1
Arkansas,2014,8,1
Arkansas,2014,9,1
Arkansas,2012,11,1
Arkansas,2012,12,1
Arkansas,2013,1,8
Arkansas,2013,2,7
Arkansas,2013,3,1
Arkansas,2013,3,1
Arkansas,2013,5,1
Arkansas,2013,6,1
Arkansas,2013,6,1
Arkansas,2013,8,1
Arkansas,2013,8,1
Arkansas,2013,9,0
Arkansas,2011,11,1
Arkansas,2011,12,1
Arkansas,2012,1,1
Arkansas,2012,2,1
Arkansas,2012,3,4
Arkansas,2012,3,1
Arkansas,2012,5,1
Arkansas,2012,6,1
Arkansas,2012,6,1
Arkansas,2012,8,0
Arkansas,2012,9,0
Arkansas,2012,9,0
Arkansas,2010,11,1
Arkansas,2010,12,1
Arkansas,2011,1,2
Arkansas,2011,2,10
Arkansas,2011,3,10
Arkansas,2011,4,1
Arkansas,2011,5,1
Arkansas,2011,6,1
Arkansas,2011,7,0
Arkansas,2011,8,0
Arkansas,2011,9,0
Arkansas,2011,10,0
Arkansas,2009,9,4
Arkansas,2009,10,8
Arkansas,2009,11,10
Arkansas,2009,12,2
Arkansas,2010,1,1
Arkansas,2010,2,2
Arkansas,2010,3,2
Arkansas,2010,4,1
Arkansas,2010,5,1
Arkansas,2010,6,1
Arkansas,2010,7,1
Arkansas,2010,8,1
Arkansas,2010,9,1
Arkansas,2010,10,1
Arkansas,2009,1,1
Arkansas,2009,2,6
Arkansas,2009,3,4
Arkansas,2009,4,1
Arkansas,2009,5,1
Arkansas,2009,6,0
Arkansas,2009,7,0
Arkansas,2009,8,1
Arkansas,2009,8,1
California,2015,11,1
California,2015,12,1
California,2014,11,1
California,2014,12,1
California,2015,1,6
California,2015,2,7
California,2015,3,3
California,2015,4,2
California,2015,5,1
California,2015,6,1
California,2015,7,1
California,2015,8,1
California,2015,9,1
California,2015,10,1
California,2013,11,1
California,2013,12,1
California,2014,1,8
California,2014,2,6
California,2014,3,2
California,2014,3,1
California,2014,5,1
California,2014,5,1
California,2014,6,1
California,2014,8,1
California,2014,8,1
California,2014,9,1
California,2012,11,1
California,2012,12,1
California,2013,1,2
California,2013,2,10
California,2013,3,2
California,2013,3,1
California,2013,5,1
California,2013,6,1
California,2013,6,1
California,2013,8,1
California,2013,8,1
California,2013,9,1
California,2011,11,1
California,2011,12,1
California,2012,1,2
California,2012,2,4
California,2012,3,2
California,2012,3,2
California,2012,5,1
California,2012,6,1
California,2012,6,1
California,2012,8,1
California,2012,9,1
California,2012,9,1
California,2010,11,1
California,2010,12,1
California,2011,1,1
California,2011,2,4
California,2011,3,6
California,2011,4,1
California,2011,5,1
California,2011,6,1
California,2011,7,1
California,2011,8,1
California,2011,9,1
California,2011,10,1
California,2009,9,3
California,2009,10,10
California,2009,11,10
California,2009,12,6
California,2010,1,5
California,2010,2,6
California,2010,3,6
California,2010,4,5
California,2010,5,2
California,2010,6,4
California,2010,7,1
California,2010,8,1
California,2010,9,1
California,2010,10,1
California,2009,1,1
California,2009,2,2
California,2009,3,2
California,2009,4,1
California,2009,5,3
California,2009,6,1
California,2009,7,1
California,2009,8,1
California,2009,8,1
Colorado,2015,11,1
Colorado,2015,12,2
Colorado,2014,11,2
Colorado,2014,12,3
Colorado,2015,1,10
Colorado,2015,2,8
Colorado,2015,3,4
Colorado,2015,4,3
Colorado,2015,5,2
Colorado,2015,6,1
Colorado,2015,7,1
Colorado,2015,8,2
Colorado,2015,9,2
Colorado,2015,10,2
Colorado,2013,11,1
Colorado,2013,12,4
Colorado,2014,1,8
Colorado,2014,2,5
Colorado,2014,3,3
Colorado,2014,3,2
Colorado,2014,5,2
Colorado,2014,5,1
Colorado,2014,6,3
Colorado,2014,8,2
Colorado,2014,8,3
Colorado,2014,9,2
Colorado,2012,11,1
Colorado,2012,12,4
Colorado,2013,1,8
Colorado,2013,2,8
Colorado,2013,3,4
Colorado,2013,3,2
Colorado,2013,5,1
Colorado,2013,6,1
Colorado,2013,6,1
Colorado,2013,8,1
Colorado,2013,9,1
Colorado,2011,11,1
Colorado,2011,12,1
Colorado,2012,1,1
Colorado,2012,2,1
Colorado,2012,3,3
Colorado,2012,3,1
Colorado,2012,5,1
Colorado,2012,6,1
Colorado,2012,6,1
Colorado,2012,8,1
Colorado,2012,9,1
Colorado,2012,9,1
Colorado,2010,11,1
Colorado,2010,12,1
Colorado,2011,1,1
Colorado,2011,2,6
Colorado,2011,3,7
Colorado,2011,4,2
Colorado,2011,5,1
Colorado,2011,6,1
Colorado,2011,7,1
Colorado,2011,8,1
Colorado,2011,9,1
Colorado,2011,10,1
Colorado,2009,9,2
Colorado,2009,10,10
Colorado,2009,11,8
Colorado,2009,12,2
Colorado,2010,1,1
Colorado,2010,2,1
Colorado,2010,3,1
Colorado,2010,4,1
Colorado,2010,5,1
Colorado,2010,6,1
Colorado,2010,7,1
Colorado,2010,8,1
Colorado,2010,9,1
Colorado,2010,10,1
Colorado,2009,1,1
Colorado,2009,2,1
Colorado,2009,3,2
Colorado,2009,4,1
Colorado,2009,5,1
Colorado,2009,6,1
Colorado,2009,7,1
Colorado,2009,8,1
Colorado,2009,8,1
Connecticut,2015,11,1
Connecticut,2015,12,1
Connecticut,2014,11,2
Connecticut,2014,12,1
Connecticut,2015,1,2
Connecticut,2015,2,10
Connecticut,2015,3,4
Connecticut,2015,4,3
Connecticut,2015,5,1
Connecticut,2015,6,1
Connecticut,2015,7,1
Connecticut,2015,8,1
Connecticut,2015,9,1
Connecticut,2015,10,1
Connecticut,2013,11,3
Connecticut,2013,12,1
Connecticut,2014,1,1
Connecticut,2014,2,6
Connecticut,2014,3,5
Connecticut,2014,3,6
Connecticut,2014,5,5
Connecticut,2014,5,0
Connecticut,2014,6,0
Connecticut,2014,8,0
Connecticut,2014,8,0
Connecticut,2014,9,1
Connecticut,2012,11,1
Connecticut,2012,12,1
Connecticut,2013,1,8
Connecticut,2013,2,5
Connecticut,2013,3,2
Connecticut,2013,3,1
Connecticut,2013,5,1
Connecticut,2013,6,1
Connecticut,2013,6,0
Connecticut,2013,8,0
Connecticut,2013,8,0
Connecticut,2013,9,6
Connecticut,2011,11,1
Connecticut,2011,12,1
Connecticut,2012,1,1
Connecticut,2012,2,1
Connecticut,2012,3,1
Connecticut,2012,3,1
Connecticut,2012,5,1
Connecticut,2012,6,1
Connecticut,2012,6,1
Connecticut,2012,8,1
Connecticut,2012,9,1
Connecticut,2012,9,1
Connecticut,2010,11,1
Connecticut,2010,12,1
Connecticut,2011,1,1
Connecticut,2011,2,1
Connecticut,2011,3,1
Connecticut,2011,4,1
Connecticut,2011,5,1
Connecticut,2011,6,1
Connecticut,2011,7,1
Connecticut,2011,8,1
Connecticut,2011,9,1
Connecticut,2011,10,1
Connecticut,2009,9,1
Connecticut,2009,10,3
Connecticut,2009,11,10
Connecticut,2009,12,1
Connecticut,2010,1,1
Connecticut,2010,2,1
Connecticut,2010,3,1
Connecticut,2010,4,1
Connecticut,2010,5,1
Connecticut,2010,6,1
Connecticut,2010,7,1
Connecticut,2010,8,1
Connecticut,2010,9,1
Connecticut,2010,10,1
Connecticut,2009,1,1
Connecticut,2009,2,10
Connecticut,2009,3,2
Connecticut,2009,4,1
Connecticut,2009,5,1
Connecticut,2009,6,1
Connecticut,2009,7,1
Connecticut,2009,8,1
Connecticut,2009,8,1
Delaware,2015,11,1
Delaware,2015,12,1
Delaware,2014,11,1
Delaware,2014,12,1
Delaware,2015,1,3
Delaware,2015,2,5
Delaware,2015,3,1
Delaware,2015,4,1
Delaware,2015,5,1
Delaware,2015,6,1
Delaware,2015,7,1
Delaware,2015,8,1
Delaware,2015,9,1
Delaware,2015,10,1
Delaware,2013,11,1
Delaware,2013,12,2
Delaware,2014,1,4
Delaware,2014,2,6
Delaware,2014,3,4
Delaware,2014,3,3
Delaware,2014,5,1
Delaware,2014,5,1
Delaware,2014,6,1
Delaware,2014,8,1
Delaware,2014,8,1
Delaware,2014,9,1
Delaware,2012,11,1
Delaware,2012,12,4
Delaware,2013,1,10
Delaware,2013,2,8
Delaware,2013,3,2
Delaware,2013,3,1
Delaware,2013,5,1
Delaware,2013,6,0
Delaware,2013,6,0
Delaware,2013,8,0
Delaware,2013,8,0
Delaware,2013,9,0
Delaware,2011,11,1
Delaware,2011,12,1
Delaware,2012,1,1
Delaware,2012,2,1
Delaware,2012,3,1
Delaware,2012,3,1
Delaware,2012,5,1
Delaware,2012,6,0
Delaware,2012,6,0
Delaware,2012,8,0
Delaware,2012,9,0
Delaware,2012,9,0
Delaware,2010,11,1
Delaware,2010,12,1
Delaware,2011,1,1
Delaware,2011,2,3
Delaware,2011,3,3
Delaware,2011,4,1
Delaware,2011,5,1
Delaware,2011,6,0
Delaware,2009,9,1
Delaware,2009,10,8
Delaware,2009,11,10
Delaware,2009,12,1
Delaware,2010,1,1
Delaware,2010,2,1
Delaware,2010,3,1
Delaware,2010,4,1
Delaware,2010,5,1
Delaware,2009,1,1
Delaware,2009,2,1
Delaware,2009,3,2
Delaware,2009,4,1
Delaware,2009,5,1
Delaware,2009,6,1
Delaware,2009,7,1
Delaware,2009,8,1
Delaware,2009,8,1
District of Columbia,2015,11,0
District of Columbia,2015,12,0
District of Columbia,2014,11,0
District of Columbia,2014,12,0
District of Columbia,2015,1,0
District of Columbia,2015,2,0
District of Columbia,2015,3,0
District of Columbia,2015,4,0
District of Columbia,2015,5,0
District of Columbia,2015,6,0
District of Columbia,2015,7,0
District of Columbia,2013,11,5
District of Columbia,2013,12,10
District of Columbia,2014,1,10
District of Columbia,2014,2,10
District of Columbia,2014,3,0
District of Columbia,2014,3,0
District of Columbia,2014,5,0
District of Columbia,2014,5,0
District of Columbia,2014,6,0
District of Columbia,2014,8,0
District of Columbia,2014,8,0
District of Columbia,2014,9,0
District of Columbia,2012,11,0
District of Columbia,2012,12,0
District of Columbia,2013,1,3
District of Columbia,2013,2,4
District of Columbia,2013,3,2
District of Columbia,2013,3,1
District of Columbia,2013,5,0
District of Columbia,2013,6,0
District of Columbia,2013,6,0
District of Columbia,2013,8,0
District of Columbia,2013,8,0
District of Columbia,2013,9,0
District of Columbia,2011,11,1
District of Columbia,2011,12,0
District of Columbia,2012,1,0
District of Columbia,2012,2,0
District of Columbia,2012,3,0
District of Columbia,2012,3,0
District of Columbia,2012,5,0
District of Columbia,2012,6,0
District of Columbia,2012,6,0
District of Columbia,2012,8,0
District of Columbia,2012,9,0
District of Columbia,2012,9,0
District of Columbia,2010,11,1
District of Columbia,2010,12,1
District of Columbia,2011,1,1
District of Columbia,2011,2,1
District of Columbia,2011,3,1
District of Columbia,2011,4,1
District of Columbia,2011,5,0
District of Columbia,2011,6,0
District of Columbia,2011,7,0
District of Columbia,2011,8,0
District of Columbia,2011,9,0
District of Columbia,2011,10,0
District of Columbia,2009,11,10
District of Columbia,2009,12,5
District of Columbia,2010,1,3
District of Columbia,2010,2,4
District of Columbia,2010,3,3
District of Columbia,2010,4,0
District of Columbia,2010,5,0
Florida,2015,11,1
Florida,2015,12,1
Florida,2014,11,3
Florida,2014,12,5
Florida,2015,1,3
Florida,2015,2,2
Florida,2015,3,2
Florida,2015,4,1
Florida,2015,5,1
Florida,2015,6,1
Florida,2015,7,1
Florida,2015,8,1
Florida,2015,9,1
Florida,2015,10,1
Florida,2013,11,1
Florida,2013,12,1
Florida,2014,1,3
Florida,2014,2,4
Florida,2014,3,1
Florida,2014,3,1
Florida,2014,5,1
Florida,2014,5,1
Florida,2014,6,1
Florida,2014,8,1
Florida,2014,8,1
Florida,2014,9,1
Florida,2012,11,1
Florida,2012,12,3
Florida,2013,1,6
Florida,2013,2,4
Florida,2013,3,1
Florida,2013,3,2
Florida,2013,5,1
Florida,2013,6,1
Florida,2013,6,1
Florida,2013,8,1
Florida,2013,8,1
Florida,2013,9,1
Florida,2011,11,1
Florida,2011,12,1
Florida,2012,1,1
Florida,2012,2,1
Florida,2012,3,1
Florida,2012,3,1
Florida,2012,5,1
Florida,2012,6,2
Florida,2012,6,1
Florida,2012,8,1
Florida,2012,9,1
Florida,2012,9,1
Florida,2010,11,1
Florida,2010,12,1
Florida,2011,1,3
Florida,2011,2,6
Florida,2011,3,1
Florida,2011,4,1
Florida,2011,5,1
Florida,2011,6,1
Florida,2011,7,1
Florida,2011,8,1
Florida,2011,9,1
Florida,2011,10,1
Florida,2009,9,8
Florida,2009,10,8
Florida,2009,11,8
Florida,2009,12,1
Florida,2010,1,1
Florida,2010,2,1
Florida,2010,3,1
Florida,2010,4,1
Florida,2010,5,1
Florida,2010,6,1
Florida,2010,7,1
Florida,2010,8,1
Florida,2010,9,1
Florida,2010,10,1
Florida,2009,1,1
Florida,2009,2,1
Florida,2009,3,1
Florida,2009,4,1
Florida,2009,5,1
Florida,2009,6,1
Florida,2009,7,1
Florida,2009,8,1
Florida,2009,8,1
Georgia,2015,11,2
Georgia,2015,12,2
Georgia,2014,11,1
Georgia,2014,12,10
Georgia,2015,1,7
Georgia,2015,2,4
Georgia,2015,3,4
Georgia,2015,4,2
Georgia,2015,5,1
Georgia,2015,6,1
Georgia,2015,7,1
Georgia,2015,8,1
Georgia,2015,9,1
Georgia,2015,10,2
Georgia,2013,11,1
Georgia,2013,12,3
Georgia,2014,1,5
Georgia,2014,2,3
Georgia,2014,3,1
Georgia,2014,3,1
Georgia,2014,5,1
Georgia,2014,5,1
Georgia,2014,6,1
Georgia,2014,8,1
Georgia,2014,8,1
Georgia,2014,9,1
Georgia,2012,11,1
Georgia,2012,12,9
Georgia,2013,1,9
Georgia,2013,2,4
Georgia,2013,3,4
Georgia,2013,3,1
Georgia,2013,5,1
Georgia,2013,6,1
Georgia,2013,6,1
Georgia,2013,8,1
Georgia,2013,8,1
Georgia,2013,9,1
Georgia,2011,11,1
Georgia,2011,12,1
Georgia,2012,1,2
Georgia,2012,2,1
Georgia,2012,3,1
Georgia,2012,3,1
Georgia,2012,5,1
Georgia,2012,6,1
Georgia,2012,6,1
Georgia,2012,8,1
Georgia,2012,9,1
Georgia,2012,9,1
Georgia,2010,11,3
Georgia,2010,12,8
Georgia,2011,1,9
Georgia,2011,2,9
Georgia,2011,3,3
Georgia,2011,4,1
Georgia,2011,5,1
Georgia,2011,6,1
Georgia,2011,7,1
Georgia,2011,8,1
Georgia,2011,9,1
Georgia,2011,10,1
Georgia,2009,9,10
Georgia,2009,10,10
Georgia,2009,11,10
Georgia,2009,12,4
Georgia,2010,1,3
Georgia,2010,2,4
Georgia,2010,3,2
Georgia,2010,4,1
Georgia,2010,5,1
Georgia,2010,6,1
Georgia,2010,7,1
Georgia,2010,8,1
Georgia,2010,9,1
Georgia,2010,10,1
Georgia,2009,1,2
Georgia,2009,2,7
Georgia,2009,3,8
Georgia,2009,4,1
Georgia,2009,5,8
Georgia,2009,6,1
Georgia,2009,7,4
Georgia,2009,8,2
Georgia,2009,8,2
Idaho,2015,11,1
Idaho,2015,12,1
Idaho,2014,11,1
Idaho,2014,12,3
Idaho,2015,1,10
Idaho,2015,2,10
Idaho,2015,3,4
Idaho,2015,4,2
Idaho,2015,5,1
Idaho,2015,6,1
Idaho,2015,7,1
Idaho,2015,8,1
Idaho,2015,9,1
Idaho,2015,10,1
Idaho,2013,11,1
Idaho,2013,12,1
Idaho,2014,1,10
Idaho,2014,2,3
Idaho,2014,3,1
Idaho,2014,3,1
Idaho,2014,5,1
Idaho,2014,5,1
Idaho,2014,6,0
Idaho,2014,8,0
Idaho,2014,8,0
Idaho,2014,9,0
Idaho,2012,11,1
Idaho,2012,12,2
Idaho,2013,1,5
Idaho,2013,2,5
Idaho,2013,3,1
Idaho,2013,3,1
Idaho,2013,5,1
Idaho,2013,6,1
Idaho,2013,6,1
Idaho,2013,8,1
Idaho,2013,8,1
Idaho,2013,9,1
Idaho,2011,11,2
Idaho,2011,12,1
Idaho,2012,1,1
Idaho,2012,2,2
Idaho,2012,3,3
Idaho,2012,3,3
Idaho,2012,5,2
Idaho,2012,6,1
Idaho,2012,6,1
Idaho,2012,8,1
Idaho,2012,9,1
Idaho,2012,9,2
Idaho,2010,11,1
Idaho,2010,12,1
Idaho,2011,1,1
Idaho,2011,2,5
Idaho,2011,3,10
Idaho,2011,4,2
Idaho,2011,5,1
Idaho,2011,6,1
Idaho,2011,7,1
Idaho,2011,8,1
Idaho,2011,9,1
Idaho,2011,10,1
Idaho,2009,9,1
Idaho,2009,10,10
Idaho,2009,11,7
Idaho,2009,12,1
Idaho,2010,1,1
Idaho,2010,2,1
Idaho,2010,3,1
Idaho,2010,4,1
Idaho,2010,5,1
Idaho,2010,6,1
Idaho,2010,7,1
Idaho,2010,8,1
Idaho,2010,9,1
Idaho,2010,10,0
Idaho,2009,1,1
Idaho,2009,2,1
Idaho,2009,3,1
Idaho,2009,4,1
Idaho,2009,5,1
Idaho,2009,6,2
Idaho,2009,7,1
Idaho,2009,8,1
Idaho,2009,8,1
Illinois,2015,11,2
Illinois,2015,12,3
Illinois,2014,11,1
Illinois,2014,12,9
Illinois,2015,1,4
Illinois,2015,2,2
Illinois,2015,3,3
Illinois,2015,4,4
Illinois,2015,5,1
Illinois,2015,6,1
Illinois,2015,7,1
Illinois,2015,8,1
Illinois,2015,9,1
Illinois,2015,10,1
Illinois,2013,11,1
Illinois,2013,12,2
Illinois,2014,1,9
Illinois,2014,2,2
Illinois,2014,3,1
Illinois,2014,3,1
Illinois,2014,5,1
Illinois,2014,5,1
Illinois,2014,6,1
Illinois,2014,8,1
Illinois,2014,8,1
Illinois,2014,9,1
Illinois,2012,11,2
Illinois,2012,12,6
Illinois,2013,1,10
Illinois,2013,2,7
Illinois,2013,3,5
Illinois,2013,3,4
Illinois,2013,5,1
Illinois,2013,6,1
Illinois,2013,6,1
Illinois,2013,8,1
Illinois,2013,8,1
Illinois,2013,9,1
Illinois,2011,11,1
Illinois,2011,12,1
Illinois,2012,1,3
Illinois,2012,2,4
Illinois,2012,3,6
Illinois,2012,3,3
Illinois,2012,5,2
Illinois,2012,6,1
Illinois,2012,6,1
Illinois,2012,8,1
Illinois,2012,9,1
Illinois,2012,9,2
Illinois,2010,11,1
Illinois,2010,12,1
Illinois,2011,1,4
Illinois,2011,2,10
Illinois,2011,3,6
Illinois,2011,4,3
Illinois,2011,5,1
Illinois,2011,6,1
Illinois,2011,7,1
Illinois,2011,8,1
Illinois,2011,9,1
Illinois,2011,10,1
Illinois,2009,9,2
Illinois,2009,10,7
Illinois,2009,11,10
Illinois,2009,12,5
Illinois,2010,1,3
Illinois,2010,2,3
Illinois,2010,3,2
Illinois,2010,4,1
Illinois,2010,5,1
Illinois,2010,6,1
Illinois,2010,7,1
Illinois,2010,8,1
Illinois,2010,9,1
Illinois,2010,10,1
Illinois,2009,1,1
Illinois,2009,2,2
Illinois,2009,3,6
Illinois,2009,4,1
Illinois,2009,5,4
Illinois,2009,6,3
Illinois,2009,7,1
Illinois,2009,8,1
Illinois,2009,8,1
Indiana,2015,11,1
Indiana,2015,12,1
Indiana,2014,11,1
Indiana,2014,12,6
Indiana,2015,1,6
Indiana,2015,2,3
Indiana,2015,3,1
Indiana,2015,4,1
Indiana,2015,5,1
Indiana,2015,6,1
Indiana,2015,7,1
Indiana,2015,8,1
Indiana,2015,9,1
Indiana,2015,10,1
Indiana,2013,11,1
Indiana,2013,12,1
Indiana,2014,1,7
Indiana,2014,2,5
Indiana,2014,3,1
Indiana,2014,3,1
Indiana,2014,5,1
Indiana,2014,5,1
Indiana,2014,6,1
Indiana,2014,8,1
Indiana,2014,8,1
Indiana,2014,9,1
Indiana,2012,11,1
Indiana,2012,12,4
Indiana,2013,1,10
Indiana,2013,2,7
Indiana,2013,3,5
Indiana,2013,3,1
Indiana,2013,5,1
Indiana,2013,6,1
Indiana,2013,6,1
Indiana,2013,8,1
Indiana,2013,8,1
Indiana,2013,9,1
Indiana,2011,11,2
Indiana,2011,12,1
Indiana,2012,1,1
Indiana,2012,2,2
Indiana,2012,3,3
Indiana,2012,3,2
Indiana,2012,5,1
Indiana,2012,6,1
Indiana,2012,6,1
Indiana,2012,8,1
Indiana,2012,9,1
Indiana,2012,9,1
Indiana,2010,11,1
Indiana,2010,12,1
Indiana,2011,1,2
Indiana,2011,2,10
Indiana,2011,3,8
Indiana,2011,4,1
Indiana,2011,5,1
Indiana,2011,6,1
Indiana,2011,7,1
